Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
4,5,839,1092,1.0,0.0,0.0,39.685
5,6,1,1092,1.0,0.0,0.0,40.326
6,9,20,1092,1.0,0.0,0.0,46.358
7,7,4,1092,1.0,0.0,0.0,46.369
8,8,847,1092,1.0,0.0,0.0,47.661
9,19,849,1092,1.0,0.0,0.0,70.143
10,10,846,1092,1.0,0.0,0.0,70.782
11,11,817,1092,1.0,0.0,0.0,72.877
12,18,840,1092,1.0,0.0,0.0,73.904
13,13,852,1092,1.0,0.0,0.0,75.599
14,17,825,1092,1.0,0.0,0.0,86.016
15,12,822,1092,1.0,0.0,0.0,86.496
16,14,855,1092,1.0,0.0,0.0,87.043
17,15,854,1092,1.0,0.0,0.0,92.523
18,20,842,1092,1.0,0.0,0.0,108.091
NC,3,832,1092,0.0,1.0,,
NC,16,848,1092,0.0,1.0,,
1,2,830,1093,1.0,0.0,0.0,0.0
2,3,1,1093,1.0,0.0,0.0,5.023
3,12,844,1093,1.0,0.0,0.0,7.501
4,9,815,1093,1.0,0.0,0.0,8.293
5,4,847,1093,1.0,0.0,0.0,44.815
6,6,846,1093,1.0,0.0,0.0,53.785
7,14,4,1093,1.0,0.0,0.0,55.078
8,10,20,1093,1.0,0.0,0.0,65.354
9,13,825,1093,1.0,0.0,0.0,65.834
10,19,852,1093,1.0,0.0,0.0,70.919
11,20,839,1093,1.0,0.0,0.0,72.875
12,18,855,1093,1.0,0.0,0.0,76.164
13,8,848,1093,1.0,0.0,0.0,80.057
14,11,842,1093,1.0,0.0,0.0,81.763
15,16,854,1093,1.0,0.0,0.0,84.49
16,15,817,1093,1.0,0.0,0.0,90.487
17,17,849,1093,1.0,0.0,0.0,103.588
NC,5,840,1093,0.0,1.0,,
NC,7,822,1093,0.0,1.0,,
NC,1,832,1093,0.0,1.0,,
1,1,830,1094,1.0,0.0,0.0,0.0
2,3,1,1094,1.0,0.0,0.0,15.186
3,4,815,1094,1.0,0.0,0.0,18.097
4,2,847,1094,1.0,0.0,0.0,49.431
5,5,832,1094,1.0,0.0,0.0,58.123
6,7,844,1094,1.0,0.0,0.0,68.774
7,11,817,1094,1.0,0.0,1.0,
8,10,839,1094,1.0,0.0,1.0,
9,8,846,1094,1.0,0.0,1.0,
10,6,822,1094,1.0,0.0,1.0,
11,14,842,1094,1.0,0.0,1.0,
12,17,848,1094,1.0,0.0,1.0,
13,12,855,1094,1.0,0.0,1.0,
14,16,20,1094,1.0,0.0,1.0,
15,20,840,1094,1.0,0.0,1.0,
16,15,854,1094,1.0,0.0,1.0,
17,19,825,1094,1.0,0.0,1.0,
18,18,849,1094,1.0,0.0,2.0,
19,9,4,1094,0.0,1.0,,
NC,13,852,1094,0.0,1.0,,
1,1,847,1095,1.0,0.0,0.0,0.0
2,2,1,1095,1.0,0.0,0.0,1.529
3,7,832,1095,1.0,0.0,0.0,4.051
4,5,844,1095,1.0,0.0,0.0,8.441
5,17,4,1095,1.0,0.0,0.0,9.561
6,3,830,1095,1.0,0.0,0.0,10.056
7,4,815,1095,1.0,0.0,0.0,14.08
8,16,839,1095,1.0,0.0,0.0,18.69
9,14,822,1095,1.0,0.0,0.0,22.552
10,15,840,1095,1.0,0.0,0.0,23.552
11,9,20,1095,1.0,0.0,0.0,26.183
12,13,855,1095,1.0,0.0,0.0,29.325
13,12,854,1095,1.0,0.0,0.0,29.899
14,10,842,1095,1.0,0.0,0.0,31.867
15,19,848,1095,1.0,0.0,0.0,36.016
16,18,849,1095,1.0,0.0,0.0,37.038
17,20,852,1095,1.0,0.0,1.0,
NC,6,846,1095,0.0,1.0,,
NC,8,825,1095,0.0,1.0,,
NC,11,817,1095,0.0,1.0,,
1,1,830,1096,1.0,0.0,0.0,0.0
2,3,844,1096,1.0,0.0,0.0,8.771
3,2,815,1096,1.0,0.0,0.0,10.093
4,4,832,1096,1.0,0.0,0.0,24.892
5,6,847,1096,1.0,0.0,0.0,35.888
6,7,846,1096,1.0,0.0,0.0,56.234
7,8,839,1096,1.0,0.0,0.0,57.24
8,14,840,1096,1.0,0.0,0.0,76.931
9,13,817,1096,1.0,0.0,0.0,83.268
10,9,20,1096,1.0,0.0,0.0,83.898
11,11,852,1096,1.0,0.0,0.0,89.371
12,15,855,1096,1.0,0.0,1.0,
13,19,848,1096,1.0,0.0,1.0,
14,17,842,1096,1.0,0.0,1.0,
15,18,822,1096,1.0,0.0,1.0,
16,12,854,1096,1.0,0.0,1.0,
17,16,825,1096,1.0,0.0,1.0,
18,5,1,1096,0.0,1.0,,
19,20,849,1096,0.0,1.0,,
NC,10,4,1096,0.0,1.0,,
