Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
7,7,844,1102,1.0,0.0,0.0,52.988
8,5,842,1102,1.0,0.0,0.0,55.67
9,8,839,1102,1.0,0.0,0.0,58.123
10,4,825,1102,1.0,0.0,0.0,62.945
11,17,852,1102,1.0,0.0,0.0,64.309
12,18,840,1102,1.0,0.0,0.0,64.754
13,10,822,1102,1.0,0.0,0.0,71.637
14,11,848,1102,1.0,0.0,0.0,72.861
15,12,807,1102,1.0,0.0,0.0,74.95
16,14,855,1102,1.0,0.0,0.0,78.44
17,16,846,1102,1.0,0.0,0.0,87.717
18,15,856,1102,1.0,0.0,0.0,88.949
19,19,857,1102,1.0,0.0,1.0,
20,20,858,1102,1.0,0.0,1.0,
1,1,830,1104,1.0,0.0,0.0,0.0
2,2,4,1104,1.0,0.0,0.0,27.921
3,3,839,1104,1.0,0.0,0.0,36.99
4,5,1,1104,1.0,0.0,0.0,39.062
5,8,847,1104,1.0,0.0,0.0,56.284
6,6,844,1104,1.0,0.0,0.0,61.89
7,7,842,1104,1.0,0.0,0.0,62.362
8,4,832,1104,1.0,0.0,0.0,63.391
9,10,846,1104,1.0,0.0,1.0,
10,11,857,1104,1.0,0.0,1.0,
11,15,822,1104,1.0,0.0,1.0,
12,12,856,1104,1.0,0.0,1.0,
13,19,855,1104,1.0,0.0,1.0,
14,13,848,1104,1.0,0.0,1.0,
15,9,852,1104,1.0,0.0,2.0,
16,20,815,1104,1.0,0.0,2.0,
17,18,807,1104,1.0,0.0,2.0,
18,16,858,1104,1.0,0.0,2.0,
19,17,825,1104,0.0,1.0,,
NC,14,840,1104,0.0,1.0,,
1,1,830,1105,1.0,0.0,0.0,0.0
2,4,1,1105,1.0,0.0,0.0,24.09
3,12,847,1105,1.0,0.0,0.0,32.389
4,11,815,1105,1.0,0.0,0.0,35.812
5,2,832,1105,1.0,0.0,0.0,45.698
6,5,840,1105,1.0,0.0,0.0,63.32
7,8,4,1105,1.0,0.0,0.0,64.127
8,6,839,1105,1.0,0.0,0.0,69.242
9,13,855,1105,1.0,0.0,0.0,71.878
10,10,842,1105,1.0,0.0,0.0,73.53
11,19,844,1105,1.0,0.0,0.0,74.419
12,15,852,1105,1.0,0.0,0.0,75.416
13,9,857,1105,1.0,0.0,1.0,
14,14,856,1105,1.0,0.0,1.0,
15,7,807,1105,1.0,0.0,1.0,
16,18,848,1105,1.0,0.0,1.0,
17,3,846,1105,1.0,0.0,1.0,
18,17,825,1105,1.0,0.0,1.0,
19,16,822,1105,1.0,0.0,1.0,
20,20,858,1105,1.0,0.0,1.0,
1,1,830,1106,1.0,0.0,0.0,0.0
2,2,4,1106,1.0,0.0,0.0,9.57
3,3,1,1106,1.0,0.0,0.0,14.168
4,10,844,1106,1.0,0.0,0.0,18.648
5,11,832,1106,1.0,0.0,0.0,21.54
6,12,815,1106,1.0,0.0,0.0,51.028
7,9,848,1106,1.0,0.0,0.0,60.813
8,6,839,1106,1.0,0.0,0.0,61.692
9,16,840,1106,1.0,0.0,0.0,64.402
10,14,822,1106,1.0,0.0,0.0,64.432
11,8,857,1106,1.0,0.0,0.0,65.101
12,15,842,1106,1.0,0.0,0.0,65.249
13,7,846,1106,1.0,0.0,0.0,68.363
14,19,852,1106,1.0,0.0,0.0,73.423
