Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec,year,Team,Track,raceId,rain,sunny
12,17,807.0,1.0,0.0,0.0,30.296,2025,Kick Sauber,Emilia Romagna,1151,0.0,1.0
13,10,842.0,1.0,0.0,0.0,31.424,2025,Alpine,Emilia Romagna,1151,0.0,1.0
14,15,859.0,1.0,0.0,0.0,32.511,2025,Racing Bulls,Emilia Romagna,1151,0.0,1.0
15,8,840.0,1.0,0.0,0.0,32.993,2025,Aston Martin,Emilia Romagna,1151,0.0,1.0
16,16,861.0,1.0,0.0,0.0,33.411,2025,Alpine,Emilia Romagna,1151,0.0,1.0
17,19,860.0,1.0,0.0,0.0,33.808,2025,Haas,Emilia Romagna,1151,0.0,1.0
18,14,865.0,1.0,0.0,0.0,38.572,2025,Kick Sauber,Emilia Romagna,1151,0.0,1.0
NC,13,863.0,0.0,1.0,,,2025,Mercedes,Emilia Romagna,1151,0.0,1.0
NC,18,839.0,0.0,1.0,,,2025,Haas,Emilia Romagna,1151,0.0,1.0
1,1,846.0,1.0,0.0,0.0,0.0,2025,McLaren,Monaco,1152,0.0,1.0
2,2,844.0,1.0,0.0,0.0,3.131,2025,Ferrari,Monaco,1152,0.0,1.0
3,3,857.0,1.0,0.0,0.0,3.658,2025,McLaren,Monaco,1152,0.0,1.0
4,4,830.0,1.0,0.0,0.0,20.572,2025,Red Bull Racing,Monaco,1152,0.0,1.0
5,7,1.0,1.0,0.0,0.0,51.387,2025,Ferrari,Monaco,1152,0.0,1.0
6,5,864.0,1.0,0.0,1.0,,2025,Racing Bulls,Monaco,1152,0.0,1.0
7,8,839.0,1.0,0.0,1.0,,2025,Haas,Monaco,1152,0.0,1.0
8,9,859.0,1.0,0.0,1.0,,2025,Racing Bulls,Monaco,1152,0.0,1.0
9,10,848.0,1.0,0.0,2.0,,2025,Williams,Monaco,1152,0.0,1.0
10,11,832.0,1.0,0.0,2.0,,2025,Williams,Monaco,1152,0.0,1.0
11,14,847.0,1.0,0.0,2.0,,2025,Mercedes,Monaco,1152,0.0,1.0
12,20,860.0,1.0,0.0,2.0,,2025,Haas,Monaco,1152,0.0,1.0
13,18,861.0,1.0,0.0,2.0,,2025,Alpine,Monaco,1152,0.0,1.0
14,16,865.0,1.0,0.0,2.0,,2025,Kick Sauber,Monaco,1152,0.0,1.0
15,19,840.0,1.0,0.0,2.0,,2025,Aston Martin,Monaco,1152,0.0,1.0
16,13,807.0,1.0,0.0,2.0,,2025,Kick Sauber,Monaco,1152,0.0,1.0
17,12,852.0,1.0,0.0,2.0,,2025,Red Bull Racing,Monaco,1152,0.0,1.0
18,15,863.0,1.0,0.0,3.0,,2025,Mercedes,Monaco,1152,0.0,1.0
NC,6,4.0,0.0,1.0,,,2025,Aston Martin,Monaco,1152,0.0,1.0
NC,17,842.0,0.0,1.0,,,2025,Alpine,Monaco,1152,0.0,1.0
