Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
7,8.0,825,1014,1.0,0.0,0.0,28.159,2019,Haas,Spain,0,1,8.0,1.0,1.0,77.669,77.27199999999999,76.922
8,12.0,832,1014,1.0,0.0,0.0,32.342,2019,McLaren,Spain,0,1,13.0,1.0,0.0,77.76,77.599,
9,9.0,826,1014,1.0,0.0,0.0,33.056,2019,Toro Rosso,Spain,0,1,9.0,1.0,1.0,77.914,77.243,77.57300000000001
10,7.0,154,1014,1.0,0.0,0.0,34.641,2019,Haas,Spain,0,1,7.0,1.0,1.0,78.042,77.066,76.911
11,11.0,848,1014,1.0,0.0,0.0,35.445,2019,Red Bull Racing,Spain,0,1,12.0,1.0,0.0,77.79599999999999,77.445,
12,13.0,817,1014,1.0,0.0,0.0,36.758,2019,Renault,Spain,0,1,10.0,1.0,1.0,78.385,77.299,78.106
13,20.0,807,1014,1.0,0.0,0.0,39.241,2019,Renault,Spain,0,1,16.0,0.0,0.0,78.404,,
14,14.0,8,1014,1.0,0.0,0.0,41.803,2019,Alfa Romeo,Spain,0,1,14.0,1.0,0.0,78.132,77.788,
15,15.0,815,1014,1.0,0.0,0.0,46.877,2019,Racing Point,Spain,0,1,15.0,1.0,0.0,78.286,77.886,
16,18.0,841,1014,1.0,0.0,0.0,47.691,2019,Alfa Romeo,Spain,0,1,18.0,0.0,0.0,78.664,,
17,19.0,847,1014,1.0,0.0,1.0,,2019,Williams,Spain,0,1,19.0,0.0,0.0,79.072,,
18,17.0,9,1014,1.0,0.0,1.0,,2019,Williams,Spain,0,1,20.0,0.0,0.0,80.254,,
NC,16.0,840,1014,0.0,1.0,,,2019,Racing Point,Spain,0,1,17.0,0.0,0.0,78.471,,
NC,10.0,846,1014,0.0,1.0,,,2019,McLaren,Spain,0,1,11.0,1.0,0.0,77.611,77.338,
1,1.0,1,1015,1.0,0.0,0.0,0.0,2019,Mercedes,Monaco,1,0,1.0,1.0,1.0,71.542,70.83500000000001,70.166
2,4.0,20,1015,1.0,0.0,0.0,2.602,2019,Ferrari,Monaco,1,0,4.0,1.0,1.0,71.434,71.227,70.947
3,2.0,822,1015,1.0,0.0,0.0,3.162,2019,Mercedes,Monaco,1,0,2.0,1.0,1.0,71.562,70.701,70.252
4,3.0,830,1015,1.0,0.0,0.0,5.537,2019,Red Bull Racing,Monaco,1,0,3.0,1.0,1.0,71.597,70.618,70.641
5,8.0,842,1015,1.0,0.0,0.0,9.946,2019,Toro Rosso,Monaco,1,0,5.0,1.0,1.0,71.74,71.457,71.041
6,9.0,832,1015,1.0,0.0,0.0,53.454,2019,McLaren,Monaco,1,0,9.0,1.0,1.0,71.872,71.608,71.417
7,7.0,826,1015,1.0,0.0,0.0,54.574,2019,Toro Rosso,Monaco,1,0,8.0,1.0,1.0,71.602,71.412,71.271
8,10.0,848,1015,1.0,0.0,0.0,55.2,2019,Red Bull Racing,Monaco,1,0,10.0,1.0,1.0,72.007,71.429,71.653
9,6.0,817,1015,1.0,0.0,0.0,60.894,2019,Renault,Monaco,1,0,7.0,1.0,1.0,71.767,71.543,71.218
10,13.0,154,1015,1.0,0.0,0.0,61.034,2019,Haas,Monaco,1,0,13.0,1.0,0.0,71.837,72.027,
11,12.0,846,1015,1.0,0.0,0.0,66.801,2019,McLaren,Monaco,1,0,12.0,1.0,0.0,71.845,71.724,
