Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
7,5.0,832,1069,1.0,0.0,0.0,83.545
8,7.0,846,1069,1.0,0.0,0.0,94.395
9,10.0,852,1069,1.0,0.0,1.0,
10,18.0,20,1069,1.0,0.0,1.0,
11,12.0,841,1069,1.0,0.0,1.0,
12,13.0,840,1069,1.0,0.0,1.0,
13,15.0,8,1069,1.0,0.0,1.0,
14,20.0,847,1069,1.0,0.0,1.0,
15,14.0,849,1069,1.0,0.0,1.0,
16,16.0,854,1069,1.0,0.0,2.0,
17,17.0,853,1069,1.0,0.0,2.0,
NC,19.0,4,1069,0.0,1.0,,
NC,11.0,839,1069,0.0,1.0,,
NC,8.0,842,1069,0.0,1.0,,
1,3.0,830,1070,1.0,0.0,0.0,0.0
2,2.0,1,1070,1.0,0.0,0.0,16.555
3,4.0,815,1070,1.0,0.0,0.0,17.752
4,5.0,842,1070,1.0,0.0,0.0,63.845
5,8.0,844,1070,1.0,0.0,0.0,81.037
6,6.0,832,1070,1.0,0.0,1.0,
7,9.0,20,1070,1.0,0.0,1.0,
8,10.0,8,1070,1.0,0.0,1.0,
9,12.0,4,1070,1.0,0.0,1.0,
10,18.0,846,1070,1.0,0.0,1.0,
11,11.0,841,1070,1.0,0.0,1.0,
12,7.0,817,1070,1.0,0.0,1.0,
13,19.0,839,1070,1.0,0.0,1.0,
14,20.0,840,1070,1.0,0.0,2.0,
15,1.0,822,1070,1.0,0.0,2.0,
16,16.0,847,1070,1.0,0.0,2.0,
17,13.0,849,1070,1.0,0.0,2.0,
18,15.0,853,1070,1.0,0.0,3.0,
NC,14.0,854,1070,0.0,1.0,,
NC,17.0,852,1070,0.0,1.0,,
1,10.0,1,1071,1.0,0.0,0.0,0.0
2,2.0,830,1071,1.0,0.0,0.0,10.496
3,1.0,822,1071,1.0,0.0,0.0,13.576
4,4.0,815,1071,1.0,0.0,0.0,39.94
5,6.0,844,1071,1.0,0.0,0.0,49.517
6,3.0,832,1071,1.0,0.0,0.0,51.82
7,7.0,842,1071,1.0,0.0,1.0,
8,8.0,839,1071,1.0,0.0,1.0,
9,12.0,4,1071,1.0,0.0,1.0,
10,5.0,846,1071,1.0,0.0,1.0,
11,9.0,20,1071,1.0,0.0,1.0,
12,20.0,8,1071,1.0,0.0,1.0,
13,17.0,847,1071,1.0,0.0,1.0,
14,13.0,841,1071,1.0,0.0,1.0,
15,15.0,852,1071,1.0,0.0,1.0,
16,16.0,849,1071,1.0,0.0,1.0,
17,19.0,853,1071,1.0,0.0,2.0,
18,18.0,854,1071,1.0,0.0,2.0,
NC,11.0,817,1071,0.0,1.0,,
NC,14.0,840,1071,0.0,1.0,,
1,1.0,1,1051,1.0,0.0,0.0,0.0
2,7.0,830,1051,1.0,0.0,0.0,25.743
3,3.0,4,1051,1.0,0.0,0.0,59.457
4,11.0,815,1051,1.0,0.0,0.0,62.306
5,9.0,839,1051,1.0,0.0,0.0,80.57
6,12.0,840,1051,1.0,0.0,0.0,81.274
7,5.0,832,1051,1.0,0.0,0.0,81.911
8,13.0,844,1051,1.0,0.0,0.0,83.126
9,4.0,846,1051,1.0,0.0,1.0,
10,10.0,20,1051,1.0,0.0,1.0,
11,2.0,842,1051,1.0,0.0,1.0,
12,14.0,817,1051,1.0,0.0,1.0,
13,8.0,852,1051,1.0,0.0,1.0,
14,16.0,8,1051,1.0,0.0,1.0,
15,18.0,841,1051,1.0,0.0,1.0,
16,19.0,854,1051,1.0,0.0,1.0,
17,15.0,847,1051,1.0,0.0,2.0,
18,20.0,853,1051,1.0,0.0,2.0,
NC,17.0,849,1051,0.0,1.0,,
NC,6.0,822,1051,0.0,1.0,,
1,1.0,1,1072,1.0,0.0,0.0,0.0
2,3.0,830,1072,1.0,0.0,0.0,21.825
3,2.0,822,1072,1.0,0.0,0.0,27.531
4,9.0,839,1072,1.0,0.0,0.0,27.633
5,11.0,817,1072,1.0,0.0,0.0,40.121
6,6.0,842,1072,1.0,0.0,0.0,41.613
7,4.0,844,1072,1.0,0.0,0.0,44.475
8,15.0,832,1072,1.0,0.0,0.0,46.606
9,10.0,841,1072,1.0,0.0,0.0,58.505
10,7.0,846,1072,1.0,0.0,0.0,61.358
11,18.0,840,1072,1.0,0.0,0.0,77.212
12,16.0,849,1072,1.0,0.0,0.0,83.249
13,13.0,4,1072,1.0,0.0,1.0,
14,8.0,852,1072,1.0,0.0,1.0,
15,12.0,8,1072,1.0,0.0,1.0,
NC,17.0,20,1072,0.0,1.0,,
NC,5.0,815,1072,0.0,1.0,,
NC,20.0,853,1072,0.0,1.0,,
NC,14.0,847,1072,0.0,1.0,,
NC,19.0,854,1072,0.0,1.0,,
1,1.0,830,1073,1.0,0.0,0.0,0.0
2,2.0,1,1073,1.0,0.0,0.0,2.256
3,5.0,832,1073,1.0,0.0,0.0,5.173
4,8.0,852,1073,1.0,0.0,0.0,5.692
5,12.0,842,1073,1.0,0.0,0.0,6.531
6,6.0,822,1073,1.0,0.0,0.0,7.463
7,3.0,846,1073,1.0,0.0,0.0,59.2
8,11.0,4,1073,1.0,0.0,0.0,61.708
9,9.0,839,1073,1.0,0.0,0.0,64.026
10,7.0,844,1073,1.0,0.0,0.0,66.057
11,15.0,20,1073,1.0,0.0,0.0,67.527
12,10.0,817,1073,1.0,0.0,1.0,
13,13.0,840,1073,1.0,0.0,1.0,
14,19.0,854,1073,1.0,0.0,1.0,
15,4.0,815,1073,0.0,1.0,,
NC,16.0,849,1073,0.0,1.0,,
NC,14.0,841,1073,0.0,1.0,,
NC,17.0,847,1073,0.0,1.0,,
NC,18.0,8,1073,0.0,1.0,,
NC,20.0,853,1073,0.0,1.0,,
