Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
13,18,858,1107,1.0,0.0,1.0,,2023,Williams,Austria,0,1
14,12,839,1107,1.0,0.0,1.0,,2023,Alpine,Austria,0,1
15,14,822,1107,1.0,0.0,1.0,,2023,Alfa Romeo,Austria,0,1
16,13,857,1107,1.0,0.0,1.0,,2023,McLaren,Austria,0,1
17,20,856,1107,1.0,0.0,1.0,,2023,AlphaTauri,Austria,0,1
18,19,825,1107,1.0,0.0,1.0,,2023,Haas F1 Team,Austria,0,1
19,16,852,1107,1.0,0.0,1.0,,2023,AlphaTauri,Austria,0,1
NC,8,807,1107,0.0,1.0,,,2023,Haas F1 Team,Austria,0,1
1,1,830,1108,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Great Britain,0,1
2,2,846,1108,1.0,0.0,0.0,3.798,2023,McLaren,Great Britain,0,1
3,7,1,1108,1.0,0.0,0.0,6.783,2023,Mercedes,Great Britain,0,1
4,3,857,1108,1.0,0.0,0.0,7.776,2023,McLaren,Great Britain,0,1
5,6,847,1108,1.0,0.0,0.0,11.206,2023,Mercedes,Great Britain,0,1
6,15,815,1108,1.0,0.0,0.0,12.882,2023,Red Bull Racing,Great Britain,0,1
7,9,4,1108,1.0,0.0,0.0,17.193,2023,Aston Martin,Great Britain,0,1
8,8,848,1108,1.0,0.0,0.0,17.878,2023,Williams,Great Britain,0,1
9,4,844,1108,1.0,0.0,0.0,18.689,2023,Ferrari,Great Britain,0,1
10,5,832,1108,1.0,0.0,0.0,19.448,2023,Ferrari,Great Britain,0,1
11,14,858,1108,1.0,0.0,0.0,23.632,2023,Williams,Great Britain,0,1
12,20,822,1108,1.0,0.0,0.0,25.83,2023,Alfa Romeo,Great Britain,0,1
13,11,807,1108,1.0,0.0,0.0,26.663,2023,Haas F1 Team,Great Britain,0,1
14,12,840,1108,1.0,0.0,0.0,27.483,2023,Aston Martin,Great Britain,0,1
15,17,855,1108,1.0,0.0,0.0,29.82,2023,Alfa Romeo,Great Britain,0,1
16,16,852,1108,1.0,0.0,0.0,31.225,2023,AlphaTauri,Great Britain,0,1
17,18,856,1108,1.0,0.0,0.0,33.128,2023,AlphaTauri,Great Britain,0,1
18,10,842,1108,0.0,1.0,,,2023,Alpine,Great Britain,0,1
NC,19,825,1108,0.0,1.0,,,2023,Haas F1 Team,Great Britain,0,1
NC,13,839,1108,0.0,1.0,,,2023,Alpine,Great Britain,0,1
1,2,830,1109,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Hungary,0,1
