resultId,raceId,driverId,position,time,milliseconds,fastestLapTime,fastestLapSpeed
24089,1004,844,7,+1:38.390,5343571,1:38.107,214.590
24090,1004,825,8,\N,\N,1:38.015,214.791
24091,1004,839,9,\N,\N,1:38.366,214.025
24092,1004,815,10,\N,\N,1:38.300,214.168
24093,1004,154,11,\N,\N,1:38.244,214.290
24094,1004,807,12,\N,\N,1:39.108,212.422
24095,1004,828,13,\N,\N,1:37.931,214.975
24096,1004,4,14,\N,\N,1:39.590,211.394
24097,1004,840,15,\N,\N,1:39.435,211.724
24098,1004,838,16,\N,\N,1:39.922,210.692
24099,1004,832,17,\N,\N,1:39.731,211.095
24100,1004,845,18,\N,\N,1:39.838,210.869
24101,1004,842,\N,\N,\N,1:44.071,202.292
24102,1004,843,\N,\N,\N,1:45.852,198.889
24103,1005,1,1,1:27:17.062,5237062,1:32.785,225.307
24104,1005,822,2,+12.919,5249981,1:33.110,224.521
24105,1005,830,3,+14.295,5251357,1:33.367,223.903
24106,1005,817,4,+19.495,5256557,1:33.187,224.336
24107,1005,8,5,+50.998,5288060,1:34.223,221.869
24108,1005,20,6,+1:09.873,5306935,1:32.318,226.447
24109,1005,815,7,+1:19.379,5316441,1:34.073,222.223
24110,1005,154,8,+1:27.198,5324260,1:34.786,220.551
24111,1005,839,9,+1:28.055,5325117,1:34.670,220.821
24112,1005,832,10,\N,\N,1:34.197,221.930
24113,1005,842,11,\N,\N,1:34.133,222.081
24114,1005,828,12,\N,\N,1:36.294,217.097
24115,1005,843,13,\N,\N,1:34.857,220.386
24116,1005,4,14,\N,\N,1:33.943,222.530
24117,1005,838,15,\N,\N,1:35.023,220.001
24118,1005,845,16,\N,\N,1:33.985,222.431
24119,1005,840,17,\N,\N,1:33.354,223.934
24120,1005,844,\N,\N,\N,1:34.515,221.183
24121,1005,807,\N,\N,\N,1:34.934,220.207
24122,1005,825,\N,\N,\N,1:39.908,209.244
24123,1006,8,1,1:34:18.643,5658643,1:38.482,201.527
24124,1006,830,2,+1.281,5659924,1:38.246,202.011
24125,1006,1,3,+2.342,5660985,1:37.392,203.782
24126,1006,20,4,+18.222,5676865,1:38.280,201.941
24127,1006,822,5,+24.744,5683387,1:38.470,201.551
24128,1006,807,6,+1:27.210,5745853,1:39.548,199.369
24129,1006,832,7,+1:34.994,5753637,1:39.858,198.750
24130,1006,815,8,+1:41.080,5759723,1:39.992,198.483
24131,1006,843,9,\N,\N,1:38.963,200.547
24132,1006,828,10,\N,\N,1:39.569,199.327
24133,1006,838,11,\N,\N,1:39.915,198.636
24134,1006,842,12,\N,\N,1:40.098,198.273
24135,1006,845,13,\N,\N,1:39.240,199.987
24136,1006,840,14,\N,\N,1:39.646,199.173
24137,1006,844,\N,\N,\N,1:40.522,197.437
24138,1006,817,\N,\N,\N,1:40.433,197.612
24139,1006,154,\N,\N,\N,1:41.982,194.610
24140,1006,4,\N,\N,\N,1:40.933,196.633
24141,1006,839,\N,\N,\N,\N,\N
24142,1006,825,\N,\N,\N,\N,\N
