Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec
3,4,864.0,1.0,0.0,0.0,3.233
4,5,847.0,1.0,0.0,0.0,5.654
5,15,848.0,1.0,0.0,0.0,6.327
6,20,860.0,1.0,0.0,0.0,9.044
7,19,840.0,1.0,0.0,0.0,9.497
8,10,4.0,1.0,0.0,0.0,11.709
9,12,852.0,1.0,0.0,0.0,13.597
10,18,839.0,1.0,0.0,0.0,14.063
11,16,861.0,1.0,0.0,0.0,14.511
12,8,859.0,1.0,0.0,0.0,17.063
13,9,832.0,1.0,0.0,0.0,17.376
14,17,807.0,0.0,1.0,,
15,13,865.0,1.0,0.0,0.0,21.565
16,11,863.0,1.0,0.0,0.0,22.029
17,14,842.0,1.0,0.0,0.0,23.629
18,2,846.0,0.0,1.0,,
NC,6,844.0,0.0,1.0,,
NC,7,1.0,0.0,1.0,,
1,1,830.0,1.0,0.0,0.0,0.0
2,2,846.0,1.0,0.0,0.0,19.207
3,3,857.0,1.0,0.0,0.0,21.351
4,4,844.0,1.0,0.0,0.0,25.624
5,5,847.0,1.0,0.0,0.0,32.881
6,10,1.0,1.0,0.0,0.0,37.449
7,14,848.0,1.0,0.0,0.0,50.537
8,7,865.0,1.0,0.0,0.0,58.484
9,6,863.0,1.0,0.0,0.0,59.762
10,19,864.0,1.0,0.0,0.0,63.891
11,13,832.0,1.0,0.0,0.0,64.469
12,11,860.0,1.0,0.0,0.0,79.288
13,9,852.0,1.0,0.0,0.0,80.701
14,18,859.0,1.0,0.0,0.0,82.351
15,15,839.0,1.0,0.0,1.0,
16,20,842.0,1.0,0.0,1.0,
17,17,861.0,1.0,0.0,1.0,
18,16,840.0,1.0,0.0,1.0,
NC,8,4.0,0.0,1.0,,
NC,12,807.0,0.0,1.0,,
1,1,830.0,1.0,0.0,0.0,0.0
2,5,847.0,1.0,0.0,0.0,14.609
3,2,832.0,1.0,0.0,0.0,19.199
4,4,863.0,1.0,0.0,0.0,21.76
5,3,859.0,1.0,0.0,0.0,33.29
6,6,852.0,1.0,0.0,0.0,33.808
7,7,846.0,1.0,0.0,0.0,34.227
8,12,1.0,1.0,0.0,0.0,36.31
9,10,844.0,1.0,0.0,0.0,36.774
10,8,864.0,1.0,0.0,0.0,38.982
11,13,865.0,1.0,0.0,0.0,67.606
12,15,860.0,1.0,0.0,0.0,68.262
13,19,848.0,1.0,0.0,0.0,72.87
14,20,839.0,1.0,0.0,0.0,77.58
15,11,4.0,1.0,0.0,0.0,78.707
16,17,807.0,1.0,0.0,0.0,80.237
17,14,840.0,1.0,0.0,0.0,96.392
18,18,842.0,1.0,0.0,1.0,
19,16,861.0,1.0,0.0,1.0,
NC,9,857.0,0.0,1.0,,
1,1,847.0,1.0,0.0,0.0,0.0
2,2,830.0,1.0,0.0,0.0,5.43
3,5,846.0,1.0,0.0,0.0,6.066
4,3,857.0,1.0,0.0,0.0,8.146
5,4,863.0,1.0,0.0,0.0,33.681
6,7,844.0,1.0,0.0,0.0,45.996
7,10,4.0,1.0,0.0,0.0,80.667
8,6,1.0,1.0,0.0,0.0,85.251
9,9,860.0,1.0,0.0,0.0,93.527
10,18,832.0,1.0,0.0,1.0,
11,8,864.0,1.0,0.0,1.0,
12,13,852.0,1.0,0.0,1.0,
13,15,840.0,1.0,0.0,1.0,
14,20,848.0,1.0,0.0,1.0,
15,12,859.0,1.0,0.0,1.0,
16,16,861.0,1.0,0.0,1.0,
17,14,865.0,1.0,0.0,1.0,
18,17,839.0,1.0,0.0,1.0,
19,19,842.0,1.0,0.0,1.0,
20,11,807.0,1.0,0.0,1.0,
1,1,830.0,1.0,0.0,0.0,0.0
2,2,846.0,1.0,0.0,0.0,7.959
3,3,844.0,1.0,0.0,0.0,15.373
4,5,1.0,1.0,0.0,0.0,28.536
5,6,857.0,1.0,0.0,0.0,29.678
6,4,847.0,1.0,0.0,0.0,33.456
7,13,852.0,1.0,0.0,0.0,52.714
8,11,807.0,1.0,0.0,0.0,57.249
9,8,860.0,1.0,0.0,0.0,64.722
10,10,4.0,1.0,0.0,0.0,70.001
11,12,859.0,1.0,0.0,0.0,73.209
12,19,840.0,1.0,0.0,0.0,74.778
13,7,863.0,1.0,0.0,0.0,75.746
14,18,848.0,1.0,0.0,0.0,80.0
15,17,839.0,1.0,0.0,0.0,83.043
16,20,864.0,1.0,0.0,0.0,92.807
17,15,861.0,1.0,0.0,1.0,
18,16,865.0,1.0,0.0,1.0,
19,14,842.0,1.0,0.0,1.0,
NC,9,832.0,0.0,1.0,,
1,1,846.0,1.0,0.0,0.0,0.0
2,2,844.0,1.0,0.0,0.0,30.324
3,5,830.0,1.0,0.0,0.0,31.049
4,9,860.0,1.0,0.0,0.0,40.955
5,7,857.0,1.0,0.0,0.0,42.065
6,6,863.0,1.0,0.0,0.0,47.837
7,4,847.0,1.0,0.0,0.0,50.287
8,3,1.0,1.0,0.0,0.0,56.446
9,11,839.0,1.0,0.0,0.0,75.464
10,16,865.0,1.0,0.0,0.0,76.863
11,10,852.0,1.0,0.0,0.0,79.048
12,17,848.0,1.0,0.0,1.0,
13,8,864.0,1.0,0.0,1.0,
14,19,840.0,1.0,0.0,1.0,
15,18,842.0,1.0,0.0,1.0,
16,20,861.0,1.0,0.0,1.0,
17,12,832.0,0.0,1.0,,
NC,14,4.0,0.0,1.0,,
NC,13,807.0,0.0,1.0,,
NC,15,859.0,0.0,1.0,,
1,1,846.0,1.0,0.0,0.0,0.0
2,2,863.0,1.0,0.0,0.0,10.388
3,19,830.0,1.0,0.0,0.0,10.75
4,6,847.0,1.0,0.0,0.0,15.267
5,4,857.0,1.0,0.0,0.0,15.749
6,8,860.0,1.0,0.0,0.0,29.63
7,7,859.0,1.0,0.0,0.0,52.642
8,5,864.0,1.0,0.0,0.0,52.873
9,71,807.0,1.0,0.0,0.0,53.324
10,9,842.0,1.0,0.0,0.0,53.914
11,12,848.0,1.0,0.0,0.0,54.184
12,20,839.0,1.0,0.0,0.0,54.696
13,15,832.0,1.0,0.0,0.0,55.42
14,11,4.0,1.0,0.0,0.0,55.766
15,16,861.0,1.0,0.0,0.0,57.777
16,14,840.0,1.0,0.0,0.0,58.247
17,17,852.0,1.0,0.0,0.0,69.176
NC,13,1.0,0.0,1.0,,
NC,3,844.0,0.0,1.0,,
NC,18,865.0,0.0,1.0,,
1,2,830.0,1.0,0.0,0.0,0.0
2,4,847.0,1.0,0.0,0.0,23.546
3,17,863.0,1.0,0.0,0.0,30.488
4,9,844.0,1.0,0.0,0.0,30.678
5,3,832.0,1.0,0.0,0.0,34.924
6,8,864.0,1.0,0.0,0.0,45.257
7,11,807.0,1.0,0.0,0.0,51.134
8,19,1.0,1.0,0.0,0.0,59.369
9,13,839.0,1.0,0.0,0.0,60.634
10,14,860.0,1.0,0.0,0.0,70.549
11,7,4.0,1.0,0.0,0.0,85.308
12,20,852.0,1.0,0.0,0.0,86.974
13,10,842.0,1.0,0.0,0.0,91.702
14,6,859.0,1.0,0.0,1.0,
15,15,861.0,1.0,0.0,1.0,
NC,16,848.0,0.0,1.0,,
NC,18,865.0,0.0,1.0,,
NC,12,840.0,0.0,1.0,,
DQ,1,846.0,0.0,1.0,,
DQ,5,857.0,0.0,1.0,,
1,3,830.0,1.0,0.0,0.0,0.0
2,1,857.0,1.0,0.0,0.0,7.995
3,7,832.0,1.0,0.0,0.0,22.665
4,2,846.0,1.0,0.0,0.0,23.315
5,5,863.0,1.0,0.0,0.0,28.317
6,4,847.0,1.0,0.0,0.0,48.599
7,8,4.0,1.0,0.0,0.0,54.045
8,10,844.0,1.0,0.0,0.0,56.785
9,12,859.0,1.0,0.0,0.0,60.073
10,15,852.0,1.0,0.0,0.0,61.77
11,14,848.0,1.0,0.0,0.0,66.931
12,17,1.0,1.0,0.0,0.0,77.73
13,19,865.0,1.0,0.0,0.0,84.812
14,20,861.0,1.0,0.0,1.0,
15,16,839.0,1.0,0.0,1.0,
16,9,842.0,1.0,0.0,1.0,
17,18,840.0,0.0,1.0,,
18,6,864.0,0.0,1.0,,
NC,13,860.0,0.0,1.0,,
NC,11,807.0,0.0,1.0,,
1,1,830.0,1.0,0.0,0.0,0.0
2,3,857.0,1.0,0.0,0.0,12.594
3,2,846.0,1.0,0.0,0.0,16.572
4,5,844.0,1.0,0.0,0.0,23.279
5,4,847.0,1.0,0.0,0.0,48.563
6,6,4.0,1.0,0.0,0.0,67.562
7,8,839.0,1.0,0.0,0.0,69.876
8,16,1.0,1.0,0.0,0.0,72.67
9,18,807.0,1.0,0.0,0.0,79.014
10,15,840.0,1.0,0.0,0.0,79.523
11,7,865.0,1.0,0.0,0.0,81.043
12,11,860.0,1.0,0.0,0.0,81.166
13,12,832.0,1.0,0.0,0.0,82.158
14,10,852.0,1.0,0.0,0.0,83.794
15,14,863.0,1.0,0.0,0.0,84.399
16,17,848.0,1.0,0.0,0.0,90.327
17,9,864.0,1.0,0.0,1.0,
18,13,859.0,1.0,0.0,1.0,
19,19,842.0,1.0,0.0,1.0,
20,20,861.0,1.0,0.0,1.0,
